,text,likes,comments,shares,reactions_count
10,26 años de cárcel para dos policías de Carabobo  por muerte de un estudiante durante las protestas de 2017 https://t.co/esBih5dhTa,74181,29761,75386,179328
11,Que falta de respeto como hacemos las madres que tenemos el dinero alli y debemos comprar alimentos  y a estas alturas aún nada.. De verdad que falta de respeto,6021,12796,85330,104147
12,@BcodeVenezuela ¿ qué está pasando con el banco? Los teléfonos para atención al cliente no  atienden,39288,14045,56189,109522
13,"#6Oct Ministro @CeballosIchaso1 sigue combatiendo la especulación y fortaleciendo la economía nacional para proteger al Pueblo, supervisando implementación en comercios de la nueva expresión del cono monetario, rumbo al Bolívar digital y haciendo cumplir las disposiciones del BCV https://t.co/AVBMNSTpYu",25704,45972,69664,141340
14,"Así de grande es el @DvoTachira, pero DE GRANDE, que el margen de error es 0 (CERO). CUALQUIER equipo puede perder un partido de local, y no pasa nada, pierde Táchira y es apocalíptico. Que enorme.",41116,84917,66115,192148
15,"#29Ago 📰 | Daniel Ceballos formalizará su candidatura ante el CNE: ""No vamos a esperar que nos digan qué hacer""
https://t.co/KhzB2NxM3o",57884,76706,81895,216485
16,El BCV intervendrá: ¿Qué esperar para el precio del dólar al atenuarse la presión causada por la reconversión monetaria? | Por: @DeisyKarina8 ✍🏻 https://t.co/3pGs37xyWb,24481,43221,29300,97002
17,@ENZOSCARANO usted es la persona que necesita Carabobo guacara tiene un toro poderoso que lo acompañara,63475,8015,36083,107573
18,"@rescatatukgdef1 @OJOVENE @Sanchez84290301 @Anabell98150439 @RamadanMezVzla @tumatachin77 @MirafloresEl @Fredypm @criszzuela @Dante27579076 @HUS07777781 @Pasajero510 @MarioNolio @1961Tokio @Samurai16157668 @Yolanda76887693 @2Viejis39 @franjav125 @indioguerrero50 @Delnacarrero @jerafervas1 @SoyDiv0 @VENEZUELAIndep1 @Tropatriunfante @RiegoPineda @LaNiaDeLaCalza1 @Florencia90102 @Fooros @jamn2007 @Maricorazon65 @caricaturasniso @3lS0ld4d0R0j0 @CarpinteroAlejo @JosePin20249686 @BoliChoro @Wutang1986 @JorgeZuluagaSi1 @me_gorra @calderjo01 @Antonio29058651 @CONDIOSYMIVZLA @Leon087770274 @Mildred37340281 @sosvzla11 @rosaurabonita @ADOLALE @rluis60 @OIlOlIl @jcy126kerubin @elgochoceballos Eeeeesooooo cuando aparezco yo de una aparece el escudero mayor, el rey de los mariconeros del Clan de la Samura: el Capitán Mojón. Cómo amanecen hoy los mariconeros de la Mandraka? Me imagino que más mariconeros que nunca (q apoyan a María Corina para q no piensen mal) 🤣🤣🤣🤣",8797,56661,88919,154377
19,Deberian tambien desplegar a sus trabajadores y tecnicos en la recuperacion del sistema para q los clientes  puedan hacer uso de su dinero q hasta la fecha lo tienen retenido... eso si seria una noticia relevante.. ,19696,61733,63774,145203
20,"CON MÁXIMO COMPROMISO PATRIO! 👊🇻🇪
#17Oct 🎥 El MG Juvenal Fernández López @GNBCmdtGral, realizó visita en el Comando de Zona @GNB41_CARABOBO acompañado del Cmdte de Zona GB. @Rivera_bastardo.
#LaVerdadSiempreTriunfa
#PuebloYCEOFANBVenceremos https://t.co/SQrC4qtJkY",14778,44196,9429,68403
21,"No es el único, el de mi cuarto también se daño y donde yo vivo en La Fría estado Táchira hace un calor del HPT, jajaja disculpe por el lenguaje coloquial y gocho. Feliz día!!! 😆😆😆 https://t.co/4S4ZXvMKku",53517,61428,23317,138262
22,"@HIDROFALCON Pero van de retroceso, ineptos. A 25 dìa sin agua en Comunidad Cardòn, incapaces. No al racionamiento.",34230,69579,13772,117581
23,"MÁXIMO COMPROMISO PATRIO! 👊🇻🇪 #17Oct 🎥 El MG Juvenal Fernández López @GNBCmdtGral, realizó visita en el Comando de Zona @GNB41_CARABOBO acompañado del Cmdte de Zona GB @Rivera_bastardo
#GNBCMDTEPACPERACAL
LaVerdadSiempreTriunfa
PuebloYCEOFANBVenceremos https://t.co/Ee2t9ac0Fk",98345,43006,21449,162800
24,"via TecnoAccesorio: Buenos días ¡Feliz Jueves!
Hermoso amanecer en Choroni, Feliz día
¡Hoy podremos con todo!
#FelizJueves #BuenosDias #FelizDia #TecnoAccesorio #Carabobo #Valencia #SanDiego 
@sandiegovial https://t.co/gJ7Pwgrkjn #QuedateEnCasa",25730,47825,66500,140055
25,"2021-04-23 56mm en Junín, Buenos Aires, Argentina #pluviomano #gestionagro https://t.co/R7U8YEcI5p @caburearg https://t.co/R3RSZ5LyIT",92043,55493,80199,227735
26,"@DanteFontana3 Sipa el BCV 4,18",67001,56042,94641,217684
27,"@Carolapalante @Banesco En horario de oficina https://t.co/T3dmyMmV40 y te metes donde diga ""CATI asistente virtual"", allí te pide el número, te muestra las opciones y esperas a que te atiendan, te van a pedir la captura del recibo de pago que te dá el banco y dura 24h para limpiar la deuda",18554,98709,89357,206620
28,"@NicmerEvans Que siga manteniendo su postura de valentia, de hermandad, y siga buscando la unidad plena de un pueblo necesitado @JAVIERBERTUCCI carabobo esta contigo nuestro proximo Gobernador👏👏💪",81803,24594,80023,186420
29,"🏁Internet Alert reporta fallas de internet en Venezuela tras fuertes fluctuaciones: Diversas zonas del país se encuentran sin electricidad en este momento son: - Distrito Capital,Miranda,Aragua, Vargas, Carabobo, Táchira, Mérida y Zulia.
#VacúnateYa @Preferida1021",96779,19478,71606,187863
30,"Estado Mayor de #FANB en el edo Bolívar realizó inspección a la Central Hidroeléctrica Antonio José de Sucre en Macagua, garantizando el buen funcionamiento de sus instalaciones.

#13Oct PuebloPatriota
#MonómerosEsDeVenezuela
UnidosPuebloyGNBEsSoberanía https://t.co/GxpU7TeV2H",48693,17112,71160,136965
31,"Infórmate en #SNE PiedrasNegras 
Agenda tu cita en 👉👉💻https://t.co/o0tiilEAFZ https://t.co/o5ushjo1bA",42588,9527,8580,60695
32,@452Vigirima @NicolasMaduro @wistohor @vladimirpadrino @dhernandezlarez @REDICentral_ @ZODI45_Carabobo @LAVOZDESJ Venceremos https://t.co/CLNLUMfolS,45449,587,74275,120311
33,@critico2_ la gente no va a querer pagar dolares en los negocios prefieren venderlos para pagar en bolivares porque ay diferencia entre el BCV y el negro,57365,78139,45746,181250
34,".👑
#LOTTOREY
11/10/2021
3:30 pm
Sorteo#: 3588
27 Perro 

Quieres plata?JuegaLottoRey
juegal #Legal
#RT #RT  
#11Octubre
#Carabobo 
#Zulia 
#Caracas 
#margarita 
#anzoategui 
#porlamar
#bolivar
#aragua 
#oriente 
#maturin 
#cantaura
#Falcon 
#Ecuado https://t.co/Ok7cHVrQvK",12558,10195,56007,78760
35,"@zarlox @joviandsammy @YoAlejoV No veo colombianos caminando por las carreteras de apure, estado Falcón, guyana, Brasil, Ecuador, Peru , Chile... En cambio 8 millones de venezolanos , muriendo en el éxodo... Desesperados por un salario mínimo de 4500 pesos mensual... Por votar por la izquierda",24457,31163,88564,144184
36,"Van 3 bajones de luz en menos de 4 horas en cd Bolívar , estado Bolívar . que vaina",18801,29041,73384,121226
37,Escuche al pueblo no puede un país tener un sueldo de 1.800.000 esto lo ganan los funcionarios de su gobierno? ud hace pacto con la derecha!  Que paso el. Pacto de punto fijo se activo de nuevo señor estamos esperando cambios no creo en dictaduras creo en democracia para todos,68989,69899,49639,188527
38,"#SALUD 💉 || Caracas, Miranda, La Guaira y Carabobo suman el 75% de los casos de COVID-19 en el país - La iguana TV 🦎

🔎 CONOCE MÁS 👇
https://t.co/QXiiToK6xq",82367,67211,49468,199046
39,"@salaprensaCantv un mes sin servicio de ABA Internet, en UD-145, San Félix, estado Bolívar, municipio Caroní, Parroquia Dalla Costa. Quién resuelve? @NicolasMaduro",99002,27696,6421,133119
40,@JAVIERBERTUCCI La verdad que en Carabobo tienen que estar fumándose un porro el que vaya a creer de tus mentiras pura cortina de humo .,52713,63612,5524,121849
41,que triste notar que una persona es indiferente con vos pero con el resto sigue igual de bien,24706,35414,34322,94442
42,@BcodeVenezuela En santa bárbara de barinas no sirven,98539,88860,77102,264501
43,"@ale_orvananos @MikelArriolaP @MarcaClaro Ese culero le va a LAS GATAS APESTOSAS DEL PEDREGAL, POR ESO DICE QUE SIGUE IGUAL ESTE PINCHE FORMATO DE MIERDA, ES PARA BENEFICIAR A LAS PERRAS CON CUERNOS Y A LAS GATAS APESTOSAS DEL PEDREGAL...🤬😤🤬😤🤬💪🏻💪🏻💪🏻💪🏻💪🏻 PINCHE LIGA MX CHAFA...✊🏻✊🏻✊🏻",75614,98955,69914,244483
44,@fmonaldi Mi hermosa península de Paraguaná,87960,62679,99572,250211
45,"UNA PREGUNTA EN EL SUPUESTO ATAQUE TERRORISTA, LOS TERRORISTAS IMAGINARIOS CAMBIARON LAS PREGUNTAS PARA ACTUALIZAR LA CLAVE DE SEGURIDAD? AHORA IQUE ""CREMA FAVORITA"" CUANDO JAMAS A EXISTIDO ESA PREGUNTA EN EL RENGLON ABUSADORES, SON LAS MEDIDAS QUE SIGUEN TOMANDO EN CONTRA DE LOS USUARIOS QUE DENUNCIAMOS A ESTOS LADRONES PUES A TODO EL MUNDO LE APARECE EN SUS CUENTAS SALDOS NEGATIVOS DESPUES DE QUE SU INEFICIENCIA ISIERA QUE SE CALLERA EL SISTEMA POR MAS DE 5 DIAS Y DESPUES SALIERON A DECIR QUE FUE OSAMA BIN LADEN, BOICOT SAQUEN TODOS LA PLATA DE ESTE BANCO URGENTE¡¡",1326,74889,58452,134667
46,Pancho Pérez Lugo: Convertiremos a Naguanagua en el Emporio Comercial y Agroturístico de Carabobo https://t.co/yKbycw9O2G,63387,56270,67268,186925
47,Cuántos Tachirenses están Dispuestos a Votar por el De los Bernal tanto en Ccs cómo en Tàchira..? 👇🤔👇 Se pueden Imaginar El Clan Bernal en el Tàchira..? Ahora Beatriz Rodríguez en Ccs será qué es Flia del Psiquiatra..? Negocio Redondo estos es casi el Tren Rodríguez y Bernal.?,99544,92982,44107,236633
48,@oficialhidroven @Hidrocentro2011 @hidrosuroeste @RMarcoTorres @EvelynBVasquez @SomosRMNoticias @RNVinformativa @VTVNoticias @delcyrodriguezv Naguanagua Edo Carabobo sin agua llevamos 5 dias,3753,31407,81755,116915
49,"Codehciu: ""La violencia contra la mujer es una violación a los derechos humanos y un grave problema de salud pública que debe ser abordado de forma intersectorial y de forma diferenciada”

https://t.co/R6LYVm0fj1",3197,28869,22401,54467
50,"Daniel_RiosVE: Según The Verge, Facebook planea cambiar de nombre https://t.co/FfX738aQS5 #DanielRiosTeInforma #GacetaCarabobo #Carabobo #Venezuela",93216,37702,30907,161825
51,El peso colombiano gana terreno como la moneda de mayor circulación en Táchira  https://t.co/2srGZj8Pwj,11798,97088,65279,174165
52,"#Asi se desarrolló asamblea de la Comuna La Batalla de Bolívar en el Estado Anzoátegúi, desde el Consejo Comunal El Edén. Esta jornada estuvo encabezada por el Ministro @IMVillarroel1  el Gral. César Olivero del @MinisteriodelP2 y el @MP_Comunas @NicolasMaduro #BatallaPorLaPaz https://t.co/LxoqFpNZ5y",4699,9089,91670,105458
53,@elgochoceballos Amigo váyase a dormir con tranquilidad no hay elecciones en Dictadura ni con una narcoregimen criminal,25675,25237,85691,136603
54,8 dias consecutivos #SinAgua mientras el Covid19 hace estragos en Valencia en la Urbanización La Alegria no tenemos agua ni para lavarnos las manos y todo esto en plena campaña politica para la gobernación de Carabobo. @rafaellacava10 @FtorresIng @EvelynBVasquez @MinSaludVE https://t.co/P4gDqEuwPO,4231,71591,56162,131984
55,"#Atención 🇻🇪 Verificación de precios acordes con la tasa cambiaria del @BCV_ORG_VE, habladores expresados en bolívares y medidas de bioseguridad son parte de los chequeos realizados por los funcionarios del @mincomercioven 

#SoberaníaPatriaYPaz https://t.co/Vh1lbcb7SF",3833,59219,13572,76624
56,@TarekWiliamSaab esto si es legal? Con que poder?quien lo nombró gobernador? Ya están diciendo con esto que se van a robar la elecciones del estado bolivar? https://t.co/FCVZroAKbU,40458,55251,67840,163549
57,"@Mippcivzla De corazón me alegra que se recupere la UCV, ojala se hiciera lo mismo con la Universidad de Carabobo y todas las universidades del país. Las de Aragua están en el piso.",22641,36313,52706,111660
58,"Detenida banda que prostituía a adolescentes en Carabobo | #15Oct 

https://t.co/s1zQPyyj46",37142,88287,21681,147110
59,"Estado Carabobo
 Municipio Naguanagua 
CAT Naguanagua 
#SomosContinuidad 
#20deoctubre 
#ACubaPonleCorazon 
@cubacooperave_C 
@cat_naguanagua 
@cubacooperaven 
Día de la Cultura Nacional https://t.co/h4JKCPo4om",16337,64795,46568,127700
60,@ChevalierRoldan Las arepas de salchicha con salsa en la parada del Guapo a la 2am cuando iba a Punto Fijo en bus,11798,51082,58968,121848
61,@raulrivas05_1 El tradicional Hotel y Balneario Aguas Termales de las Trincheras a 15 minutos de Naguanagua vía Puerto Cabello Edo. Carabobo 🇻🇪,28952,68053,68057,165062
62,"Universidad Católica:
“Todo apunta a que, tanto en el sector público como en el privado, este año termine con caídas en el salario real”.  La recuperación salarial para 2022 dependerá de si la inflación se ajusta a lo esperado por el gobierno.",2167,54669,49336,106172
63,"CDI SIMON BOLIVAR PEDRAZA
ESTADO BARINAS
@cubacooperaven https://t.co/m5rOMr7jYq",63812,48566,12833,125211
64,"Gob #Falcón Victor Clark B. Informa sobre la detención de cuatro (4) personas por el presunto hurto de medicamentos en almacén de la https://t.co/3WB01DEZRy Salud Falcón. Clark, señalo ""vamos por todos, autores materiales e intelectuales"", el CICPC tiene que dar con todos. https://t.co/UNEKsGsZ1Z",81999,61403,45949,189351
65,"@evedecolores A mi me lo enseñaron por allá en Tacuato eso queda entre Coro y Punto Fijo- Y cuando vienes de regreso pasa por donde la señora Katy allí en Coro y compras sus dulces. Como decimos en Margarita ""no me heches más cartas""",78629,177,17461,96267
66,@PMA44362148 @Parejanuevades1 Hola de que partes de punto fijo son,8158,71296,32549,112003
67,"@JAVIERBERTUCCI Definitivamente el cambio llegó a Carabobo Bertucci será un gobernador incluyente eso es lo que necesita Carabobo no se puede tapar el sol con un dedo la gente está con Bertucci
Bertucci gobernador",43241,10377,77136,130754
68,Inspeccionan trabajos de recuperación del área de Gineco-Obstetricia del Hospital Dr. Rafael Calles Sierra en Paraguaná https://t.co/kqmf247bof https://t.co/sD2pdC4OoF,63886,39669,42370,145925
69,@patiaceves solo para comentarle que en Tlalpan específicamente  en la calle de Lacandones Mz 13 Lt 12 Col. Pedregal de las Águilas no tenemos agua desde hace 2 meses motivo por el cual pido si intervención. Se han hecho los reportes necesarios  sin obtener resultados.,51013,47958,72068,171039
70,"Protectorado del Táchira inició plan especial de recolección de basura https://t.co/T16DfhVUy5  

#VacúnateYA",48160,98026,72023,218209
71,Así abren el dólar paralelo y tasa del BCV este #5Oct (+Monitor) https://t.co/mDpg6qNob5,77905,90217,95218,263340
72,"El año pasado si mal no recuerdo, cuando Táchira iba a jugar vs caracas, también apareció el covid en el equipo y ese día Quintero tuvo su titularidad y lo hizo super bien, Dios quiera hoy se repita esa historia",78000,53493,85553,217046
73,@ebncol @Nichttot_Pazos @gastonvelandia @TocandoAndo @margaritamoon77 Pues ay propiedades que como veo si quedan para las personas que lo necesitan https://t.co/BBIZ1VWDow,77365,9141,99459,185965
74,"@tuitesocialista @BcodeVenezuela 🇻🇪 🙋🏻 Por BDV en línea  , sencillo

✊ https://t.co/69zsDcukl6

🇻🇪 #AIexPresoPolitico",33480,56283,39229,128992
75,"#27Ago #Declaraciones 
Nicolás Maduro: ""Otros de los estados que sufrieron incidencias son: Cojedes, Delta Amacuro, Falcón, Guárico, La Guaira, Lara, Mérida, Miranda, Monagas, Nueva Esparta, Sucre, Táchira, Trujillo, Yaracuy y Zulia """,63308,82066,97750,243124
76,"Dos niñas resultaron lesionadas por caída de vehículo en un ""mega hueco"" en Punto Fijo https://t.co/06EMeXQQhM ◼",12519,68487,20491,101497
77,"@Paveloropeza Pues....
🧐 En la sede principal de la Universidad de Carabobo, frente a la Facultad de Economía está la Plaza con un Busto de Allende en la principal Avenida Universitaria que lleva por nombre Salvador Allende.",68829,29241,18842,116912
78,#19Oct  Por hurtar insumos médicos: Arrestaron a empleada de oncológico en Carabobo https://t.co/tt176ahTZS,38024,10886,29970,78880
79,@luisgonzaloprz En Carabobo pero con la caida d whatsapp y Instagram Facebook la furia esta contenida 😂😂😂,65447,28797,88850,183094
80,"La mujer Cubana digna heroína de Estos tiempos, desde el Estado del Táchira, La Fría, se reconoce la labor de la FMC, en su #Aniversario61FMC
#HéroesDeLaSalud
#CubaEsSolidaridad
#CubaPorLaVida
#ACubaPonleCorazón
#MMedicaCubanaTachira
@FMC_Cuba
@cubacooperaven https://t.co/FQWAlC0n3T",34397,52506,24919,111822
81,"🏡SE VENDE LINDA CASA EN CONJUNTO RESIDENCIAL PRIVADO MAGNIFICA UBICACION               
👉 Urbanización Casacoima Country al lado de la Clínica de Especialidades, Av. 27 de Febrero. PUNTO FIJO TELÉFONOS 
☎+584126802436 - 
☎+584146708309 - 
☎+584146968008 -
PUNTO FIJO FALCÓN https://t.co/p7CcxDJQja",74008,56466,20400,150874
82,Daniel_RiosVE: Southwest Airlines cancela cientos de vuelos por problemas del control de tráfico aéreo https://t.co/hN7RsYvu0f #DanielRiosTeInforma #Valencia #Carabobo #Venezuela,70630,80747,90904,242281
83,#Falcón | De 40 a 30 litros por vehículo pasó la nueva distribución de combustible en las estaciones de servicios subsidiadas. Conozca los detalles https://t.co/q0lklCJDXi,94513,47580,68341,210434
84,"#14Sep Funcionarios de @PoliciaTachira, detuvieron 01 ciudadano, el cual al ser verificado por el SIIPOL, se encuentra solicitado por el Juzgado Primero del estado Táchira, por el delito de posesión ilícita de  sustancias estupefacientes y psicotrópicas.

#AlertasContraElSabotaje https://t.co/pHx5An9Wg1",85059,16865,45776,147700
85,"Seguimos Luchando!!! 🇻🇪💪 en Rubio, Estado Tachira https://t.co/GD1z2y2bqE",88812,14098,85285,188195
86,"#14Oct #Venezuela #Reportando bajón de luz, por los momentos, en varios lugares de Caracas, Aragua y Carabobo. Y ahora #SinLuz en Caracas.",62505,55095,34253,151853
87,Terreno en Venta en Guanadito.  Punto Fijo en Punto Fijo/Falcón/Venezuela en Venta https://t.co/9Ov7GbveFl,36083,38358,91732,166173
88,"""Colo Colo debe corregir el impuso que le dejó jugadores suspendidos"" https://t.co/bL2QIOs6lT",72401,348,85480,158229
89,Táchira: Este domingo #5Sep votan en primarias para definir candidatos de la MUD en Junín y Córdoba https://t.co/FRtVu96NP3 https://t.co/E3Hx76jdtA,94164,6131,50452,150747
90,"@SancadillaNorte https://t.co/mkJq3SQBvl

Vendo salsas entrego en todo Monterrey
Y ya se la saben puras buenas vibras para toda la banda",97977,30267,93962,222206
91,"#ATENCION | Las fuertes lluvias de anoche causaron un derrumbe en el sector de La Ratona, vía Santa Ana del Tachira, municipio Córdoba. Es la única vía de acceso a la zona. Habitantes caminan sobre el lodo para llegar a sus destinos. #12Sep #Tachira #Venezuela 
📷 Cortesía https://t.co/kfc2eT38dh",53217,81380,14215,148812
92,"@BcodeVenezuela Buenas tardes,me pueden explicar porque aparece un débito en mi cuenta, a qué se debe eso, porque a penas hoy es 7 de octubre.",51566,929,8925,61420
93,"Tenemos el Kit Nintendo DsLite por 2$, incluye: 01 Lector de Tarjeta MicroSD, 03 Protector de Pantalla y 03 Lápices punta de goma. #Nintendo #DsLite #Game #Vende #VenVariedades #Carabobo #Valencia #SanDiego https://t.co/Aw6uHSERQT https://t.co/BZDm6oiJUu",50243,66862,38575,155680
94,🇻🇪 Experto estima que el BCV «puede lograr» caída en cotización del dólar paralelo https://t.co/QNB1WU47wu,79167,20283,64947,164397
95,"Cuándo Freddy Bernal @FreddyBernal fue alcalde de Caracas lo atacaron de mil maneras al punto que al salir de la alcaldía su reputación no valía medio

Hoy es uno de los pocos con cojones para meterse a pelear contra las mafias paracas en el TACHIRA

#SomosPatriaSoberana",84810,36844,60279,181933
96,"@gamez_manara @66MarioDeLuca1 @nica_rojaynegra @BrownSugarNic @NeyV10Jr @nicol_she @yahoska_davila @mijamart88 @Atego16 @Arjuly18 @TaniSandinista3 @ChocobolaNica @CandeloHoracio AMIGA DESDE VENEZUELA ESTADO CARABOBO
SOMOS ALEGRIA SOMOS MAYORIA SOMOS DE VERDAD
EL SOL DE VENEZUELA NACE EN EL ESEQUIBO
VIVA VENEZUELA Y VIVA NICARAGUA LIBRES SOBERANAS E INDEPENDIENTES
HASTA LA VICTORIA SIEMPRE
NECESARIO ES VENCER",88984,46130,61176,196290
97,"@Cubacooperabol2 Desde el Estado Bolívar mantenemos una atención de calidad al pueblo venezolano, servicio de rehabilitación, CDI El Roble .
#CubaPorLaVida 
@Cubacooperabol2 
@cubacooperaven 

@AnayansyPR 
@AngelGCampos3 https://t.co/J4qhNAov1j",10604,61235,22103,93942
98,"🗣📢 #Tachira Desde el Municipio San Cristóbal, en el Consejo Legislativo, estuvimos reunidos con profesionales formados en diferentes áreas del conocimiento debatiendo el Plan de Gobierno de nuestro próximo Gobernador @FreddyBernal 
#Amemosaltachira
#ULTIMAHORA 
💛🖤❤ https://t.co/5KmT8t22cJ",65432,79042,57554,202028
99,"Terminé estos 4 días sentada en el sillón mirando un punto fijo por, mínimo, una hora. Menos mal que mañana es viernes, sino ni mi mente ni mi cuerpito resistirían.",99985,51676,88151,239812
100,@Mippcivzla @SMoncada_VEN @jaarreaza @PlasenciaFelix @luis_villegasr @IgBuzMep @JEHYSONGUZMAN @ONUVENuevaYork @embajadacaracas @mfa_russia #OlaDeSolidaridadPorAlexSaab ¡VENEZUELA denuncia a EEUU por secuestro del Diplomatico! Venceremos igual que ayer en Carabobo. @NicolasMaduro @Mippcivzla @luchaalmada @DayraMRivasR @fotoecocultura @BattleWinner3 @AuristelaAlvar5 @yanislumar @MaikelLucenaVE @OncaTvR @VTVcanal8 https://t.co/3NegGTALIC,85982,78792,61761,226535
101,Los establecimientos deben emitirla y entregarla al momento que el cliente solicite la cuenta. #ExigeTuFactura @SENIAT_Oficial @ASIST_SENIAT @EGALLARDOB https://t.co/tVfjhjwpr6,73429,70202,8506,152137
102,EN VIDEO | ¡Inesperado! Rescataron a serpiente boa del interior de un vehículo en Carabobo https://t.co/zZIy7xRjWD,61857,2850,36884,101591
103,"Alcalde Pablo Acosta Activó Brigadas de Desinfección Comunitarias en ""Las Panelas."" https://t.co/stQu0FOoIR",99096,11135,21303,131534
104,"#9Oct|| 🔴¡MICROTRÁFICO! En #Carabobo fue aprehendido sujeto por tráfico ilícito de drogas de menor cuantía A/O del M.P #InvictosPorVzlaCEOFANB
#VenezuelaTieneConQué
.@vladimirpadrino
.@GNBCmdtGral https://t.co/AnbQdOfu9A",41558,85944,25514,153016
105,#11Oct La milicia no descansa porque nunca se cansa #RedicentralSimulacro @NicolasMaduro @vladimirpadrino @wistohor @ADI_Tacarigua  @ZODI45_Carabobo https://t.co/RI6d8C0yNW,96731,47423,23571,167725
106,@sundde_ve Ayer fui al mercado Euromax San Diego Edo carabobo y le estaban colocando nuevo precio a toda la comida,95990,60090,7096,163176
107,#13Sep #sucesos Caso incesto en #Tachira Homicida se entregó en #Colombia https://t.co/yBLc3abgWv https://t.co/qDPao2x51H,27556,46429,93466,167451
108,"@EdgardSanchez Parque Nacional Médanos de Coro, debido a su belleza natural y por mantener el concepto de Bioma desértico, además de ser el único desierto de la costa del Caribe.
#RestauraciónFalcón

https://t.co/uWdVdeX0vJ

https://t.co/biJSP9teb5

#31Mar https://t.co/85v7jbJA2w",74881,40701,40093,155675
109,@NataliaUrregoA @QuinteroCalle cuando empiezan a trabajar en carabobo norte en la via zamora ya ha pasado mucho tiempo. Ybuna vez escuche que ya habian empezado y nada ze nada cuenten que paso... Informen a la poblacion,44089,14824,56170,115083
110,¿El BCV inyectó dólares a los enchufados y chupamedias codependientes? https://t.co/w5UmBaoVZ3,56190,92952,15472,164614
111,"@safebzzbzz perro
Park Jimin
Pasta
Pérez
Paraguana",15675,86040,99325,201040
112,"Durante el primer semestre de 2021 hubo al menos 279 casos de violencia en el estado Bolívar, de acuerdo con el monitoreo en diferentes medios de comunicación de la región
 https://t.co/v7oueXKuI2",78258,65851,48050,192159
113,Despues q el pueblo y agricultores sirvieron al gobierno haciendo su trabajo ahora son perseguidos y sin explicación alguna a la parroquia guarataro municipio Sucre estado Bolívar,44785,82776,32710,160271
114,"#18Oct ""El mayor triunfo no sucede en los escenarios del mundo, sino en los repliegues íntimos del corazón”. Feliz inicio de semana Carabobo. ¡Aquí Nadie se Rinde! 💪🏽💪🏽🦇🦇🇻🇪🇻🇪 #EpaVamosACuidarnos #carabobo #lacava #docentes #lunes https://t.co/Cx3xsN63gp",16504,85304,68187,169995
115,"Aseguran a bebé migrante deambulando por las calles de Piedras Negras
https://t.co/aRJHZWYoM5
#PiedrasNegras #Bebé #Migrante https://t.co/j8jFxSB7jv",76177,58251,13157,147585
116,"INAC autoriza la reapertura de vuelos en el país excepto en Bolívar y Táchira | #Nacionales |

https://t.co/OMcKAvu0qn",25634,73540,95236,194410
117,"Corte electricidad en zona de Negro Primero. Guacara. Edo. CARABOBO. Ya ni café se puede preparar los Talibanes de .@Corpoelec_carabo se encargan del saboteo eléctrico. Buenos días Ministro
.@mppeeVzla .@NestorLReverol https://t.co/B1xrklVI9O",1169,81144,96353,178666
118,Desde un lugar del Táchira le dicen: buen martes https://t.co/7A1j0L4hUs,36327,98597,51023,185947
